,level_0,index,link,headline,summary,date,compounds_head,compounds_summ,compounds_head_summ,Sentiment,Modal,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Doc_length,Modal_freq,Negative_freq,Positive_freq,Uncertainty_freq,Litigious_freq,Constraining_freq,Superfluous_freq,Interesting_freq,Negative_score,Positive_score
0,0,0,https://www.nytimes.com/2003/12/29/business/media-year-ahead-giving-audience-what-it-wants-but-not-giving-it-away-satellite.html,"MEDIA: The Year Ahead: Giving an Audience What It Wants, but Not Giving It Away -- Satellite TV; A New Murdoch In the Spotlight","Ruffled shareholders of the pay television provider British Sky Broadcasting will be keeping a close eye in the coming months on the company's 31-year-old chief executive, James R. Murdoch, right. After the well-respected Tony Ball resigned in September, Mr. Murdoch was given the chief's job, drawing cries of nepotism. Mr. Murdoch's father, Rupert, is chairman of the News Corporation, which owns 35 percent of BSkyB.",2003-12-29 01:00:00,0.5859,-0.6249,-0.431,"       Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0      WILL      1         0         0            0          0             0   
1  RESIGNED      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,-0.014705882352941176
1,1,1,https://www.nytimes.com/2004/01/22/business/market-place-in-surprise-liberty-media-fattens-stake-in-news-corp.html,"Market Place; In Surprise, Liberty Media Fattens Stake in News Corp.","In a move that caught investors and analysts by surprise, the Liberty Media Corporation disclosed yesterday that it had increased its voting stake in the News Corporation to 9.1 percent, making it the second-largest shareholder after the Murdoch family, which controls 30 percent of the vote. Liberty, which is controlled by the entrepreneur John C. Malone, said in a filing with the Securities and Exchange Commission that it had traded a chunk of nonvoting shares for the new voting ones. But the deal, which News Corporation learned of only in the last day or so, according to a company official, will make Liberty the largest equity shareholder, with 17 percent, because it still holds a large number of nonvoting shares.",2004-01-22 01:00:00,0.6705,0.9601,0.9744,"        Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  DISCLOSED      0         1         0            0          0             0   
1       WILL      1         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,122,0.00819672131147541,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.00819672131147541,-0.00819672131147541
2,2,2,https://www.nytimes.com/2004/01/23/business/liberty-media-fuels-speculation-by-adding-to-news-corp-stake.html,Liberty Media Fuels Speculation By Adding to News Corp. Stake,"A day after the Liberty Media Corporation, the company controlled by John C. Malone, said it was increasing its voting stake in the News Corporation, investors are still wondering what Mr. Malone is up to. There is at least some explanation for the transaction, in which Liberty swapped part of its nonvoting shares for voting ones. The company has been quietly increasing its stakes in a number of properties where it already has an investment.",2004-01-23 01:00:00,0.5267,0.8519,0.9136,"         Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0  INCREASING      0         0         0            0          0   
1  INCREASING      0         0         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            1  
1             0            0            1  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.0
3,4,4,https://www.nytimes.com/2004/03/24/business/the-murdoch-empire-looks-to-italian-tv.html,The Murdoch Empire Looks to Italian TV,"Pay television has always been a losing proposition in Italy, where no company has ever turned a profit at it. Rupert Murdoch is out to change that with Sky Italia. But though Mr. Murdoch, who controls the News Corporation, has created a worldwide media empire, it is not yet clear if he can match his other successes here. Sky Italia is Mr. Murdoch's only television company in continental Europe, making it crucial to the News Corporation's long-term prospects on the Continent.",2004-03-24 01:00:00,0.0,0.5132,0.5132,"        Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0     ALWAYS      1         0         0            0          0             0   
1     LOSING      0         1         0            0          0             0   
2        CAN      2         0         0            0          0             0   
3  SUCCESSES      0         0         1            0          0             0   
4    CRUCIAL      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  
2            0            0  
3            0            0  
4            0            0  ",3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,82,0.036585365853658534,0.024390243902439025,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,-0.012195121951219513
4,5,5,https://www.nytimes.com/2004/04/07/business/market-place-news-corp-plans-to-follow-its-chief-to-the-united-states.html,News Corp. Plans to Follow Its Chief to the United States,"Rupert Murdoch, who gave up his Australian citizenship 19 years ago to become a United States citizen, plans something similar for the News Corporation, the media empire his family controls. The company, whose holdings include The New York Post and the 20th Century Fox movie studio, will reincorporate in the United States, where it earns about 75 percent of its revenue and profit. News Corporation hopes the move, which includes shifting its primary stock listing to the New York Stock Exchange from the Australian exchange, will lure a wider investor base and give it access to lower-cost capital.",2004-04-07 01:00:00,0.4215,0.8834,0.9201,"   Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  WILL      1         0         0            0          0             0   
1  WILL      1         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,6,https://www.nytimes.com/2004/04/08/nyregion/c-corrections-130184.html,Corrections,"A chart in Business Day yesterday with an article about the News Corporation's plan to incorporate in the United States misstated the status of Kenneth E. Cowley, Roderick I. Eddington and Andrew S. B. Knight. They are all current directors, not former directors. (All three are also former executives of the News Corporation.)",2004-04-08 01:00:00,0.0,0.4215,0.4215,"        Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  MISSTATED      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,-0.018518518518518517
6,7,7,https://www.nytimes.com/2004/05/07/business/media-business-advertising-tv-cable-units-drive-profit-up-69-corp.html,TV and Cable Units Drive Profit Up 69% at News Corp.,"News Corporation said yesterday that its fiscal third-quarter profit jumped 69 percent, driven by strong performances at its television and cable units, home to ''American Idol'' and the Fox News Channel. Rupert Murdoch, News Corporation's chief executive, said during a conference call with analysts and reporters yesterday that the company would decide on its next United States cable channel before the end of the year, although he played down speculation that it would start a business news channel to compete with CNBC.",2004-05-07 01:00:00,0.4404,0.886,0.9231,"          Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0       STRONG      0         0         1            0          0   
1        WOULD      2         0         0            0          0   
2        WOULD      2         0         0            0          0   
3  SPECULATION      0         0         0            1          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  
3             0            0            0  ",4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,83,0.04819277108433735,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,-0.012048192771084338,0.012048192771084338
7,9,9,https://www.nytimes.com/2004/06/06/business/news-and-analysis-another-media-kingdom-another-succession-riddle.html,"Another Media Kingdom, Another Succession Riddle","AT a Manhattan screening of ''The Hours'' a year and a half ago, the guest list included two of the movie's stars, Nicole Kidman and Meryl Streep. But at a supper after the screening, the table with the most cachet had neither actress. It had a pair of septuagenarians in suits: Rupert Murdoch, the chairman and chief executive of the News Corporation, and Sumner M. Redstone, the chairman of Viacom. Mr. Murdoch was then 71 and Mr. Redstone was 79 -- ages when most corporate chiefs would be retired and spending time on the golf course. Each man was a billionaire many times over, and each controlled one of the world's most important media empires with a plan to hand over his stock to his children one day.",2004-06-06 01:00:00,0.2023,0.6478,0.7264,"    Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  WOULD      2         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,0.015748031496062992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,10,10,https://www.nytimes.com/2004/06/09/business/world-business-briefing-asia-india-software-services-stake-acquired.html,World Business Briefing | Asia: India: Software Services Stake Acquired,"An elec-tronics maker, Flextronics, said it would buy 55 percent of Hughes Software Systems from a unit of the News Corporation for $226 million to add software services to its products. Flextronics, which is based in Singapore and has offices in San Jose, Calif., agreed to pay 547 rupees ($12.15) a share for the stake, a 5 percent premium over the company's closing price on Monday. ''The piece that was missing in the puzzle was software services,'' Ash Bharadwaj, president for design services at Flextronics, said. Hughes Software has two development centers in India and one in Germany; it has 2,400 employees worldwide. Saritha Rai (NYT)",2004-06-09 01:00:00,0.0,0.1779,0.1779,"      Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0    WOULD      2         0         0            0          0             0   
1  CLOSING      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110,0.01818181818181818,0.00909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,-0.00909090909090909
9,13,13,https://www.nytimes.com/2004/06/25/business/world-business-briefing-australia-news-corporation-ruling-supported.html,World Business Briefing | Australia: News Corporation Ruling Supported,"Standard & Poor's said it had majority support for its ruling that the News Corporation, the country's largest company, cannot be listed in an Australian index after it moves its base to New York late this year. S.&P.'s managing director, David Blitzer, said the company could not join the New York Stock Exchange's 500-stock index while retaining its listing on the Australian Stock Exchange's top 200 index on which it accounts for 7 percent of total value. The S.&P. manages both indexes. News Corporation both shareholders will vote in October on the planned move, which the News Corporation chairman, Rupert Murdoch, announced in April. The company said that there were ''compelling benefits'' to the proposal for reincorporating in the United States. John Shaw ( NYT)",2004-06-25 01:00:00,0.3182,0.779,0.8447,"     Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  RULING      0         0         0            0          1             0   
1    LATE      0         1         0            0          0             0   
2   COULD      3         0         0            1          0             0   
3    WILL      1         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  
2            0            0  
3            0            0  ",4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,129,0.031007751937984496,0.007751937984496124,0.0,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0,0.007751937984496124,-0.007751937984496124
