,level_0,index,link,headline,summary,date,compounds_head,compounds_summ,compounds_head_summ,Sentiment,Modal,Negative,Positive,Uncertainty,Litigious,Constraining,Superfluous,Interesting,Doc_length,Modal_freq,Negative_freq,Positive_freq,Uncertainty_freq,Litigious_freq,Constraining_freq,Superfluous_freq,Interesting_freq,Negative_score,Positive_score
0,0,0,https://www.nytimes.com/1993/03/22/business/dividend-meetings-146593.html,Dividend Meetings,Following is a partial list of dividend meetings this week: MONDAY Ameron Inc BellSouth Corp Standard Prods Co TUESDAY Bell Atlantic Corp Centerior Energy Corp Great Atl & Pac Tea WEDNESDAY Brooklyn Union Gas Clarco Inc Commercial Intertech Federal Mogul Corp THURSDAY Boston Edison Co Grow Group Inc Charles Schwab Corp Transatlantic Hldgs Inc Wyle Labs FRIDAY Cen Hudson Gas & Elec Knight-Ridder Inc Southwestern Bell Corp,1993-03-22 01:00:00,0.0,0.7351,0.7351,"    Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  GREAT      0         0         1            0          0             0   

   Superfluous  Interesting  
0            0            0  ",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.014705882352941176
1,1,1,https://www.nytimes.com/1993/03/27/business/company-news-southwestern-bell-splits-stock-and-lifts-payout.html,SOUTHWESTERN BELL SPLITS STOCK AND LIFTS PAYOUT,The Southwestern Bell Corporation announced yesterday a 2-for-1 stock split and an increase in its quarterly dividend. The company said the stock split was payable on May 25 to shareholders of record May 7.,1993-03-27 01:00:00,0.0,0.3182,0.3182,"  Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  MAY      3         0         0            1          0             0   
1  MAY      3         0         0            1          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,https://www.nytimes.com/1993/03/31/business/company-news-new-wireless-phone-system-introduced.html,New Wireless Phone System Introduced,"It costs a lot more than your average telephone as much as $2,500 to install -- but Southwestern Bell and Panasonic introduced a new wireless telephone system today that works like a cordless phone in an office building and a cellular phone out on the street. Called Freedom Link, the new system marks the first commercial product that comes close to letting a person use the same pocket-sized telephone regardless of location.",1993-03-31 01:00:00,0.0,0.8765,0.8765,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,5,https://www.nytimes.com/1993/05/06/business/british-cable-venture-set.html,British Cable Venture Set,"The Southwestern Bell Corporation and Cox Cable Communications have completed an agreement to establish a partnership for cable television and telephone businesses in Britain. Under the agreement, Cox Cable will have a 25 percent stake in the cable television and telephone operations owned by Southwestern Bell International Holdings Ltd. Cox will also have the option to increase its stake.",1993-05-06 01:00:00,0.0,0.8271,0.8271,"   Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0  WILL      1         0         0            0          0             0   
1  WILL      1         0         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0.03389830508474576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,12,https://www.nytimes.com/1993/05/28/nyregion/c-corrections-204193.html,Corrections,"A table in Business Day yesterday headed ""The Favorite Stocks,"" listing the 15 issues with the most shareholders, misstated the 1993 percentage change for Southwestern Bell. On Wednesday, Southwestern Bell's shares were up 2.7 percent so far this year.",1993-05-28 01:00:00,0.0,0.6369,0.6369,"        Word  Modal  Negative  Positive  Uncertainty  Litigious  Constraining  \
0   FAVORITE      0         0         1            0          0             0   
1  MISSTATED      0         1         0            0          0             0   

   Superfluous  Interesting  
0            0            0  
1            0            0  ",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,13,13,https://www.nytimes.com/1993/05/29/sports/results-plus-173393.html,RESULTS PLUS,"COLLEGE BASEBALL St. John's Stays Alive in N.C.A.A. Brett Bartkewicz paced a 21-hit attack with five singles and Jason Loscalzo had four hits including a home run as St. John's beat George Mason, 16-9, yesterday in a loser-out game of the National Collegiate Athletic Association West Regional in Tempe, Ariz. St. John's (26-19), which also got three doubles and a single from Anthony D'Esposito, made five errors in the first two innings and fell behind by 3-0 before staying alive in the double-elimination regional, getting five unearned runs against George Mason (33-15) in the fifth. Redmen starter C. J. Nitkowski (6-3) struck out 10 and allowed two earned runs over seven and two-thirds innings. (AP) Fordham Loses in Midwest: Top-seeded North Carolina State took advantage of Fordham's porous defense in the first three innings and went on to a 12-4 victory in the first round of the Midwest Regional in Stillwater, Okla. The Wolfpack (48-15) scored five unearned runs in the first inning after Fordham starter Ramon Hernandez was within one pitch of getting out of the inning. Four more unearned runs in the third put the game out of reach. Fordham (31-26) next plays the loser of last night's game between Oklahoma State and Connecticut. (AP) Rutgers Loses One: In Knoxville, Tenn., Clemson won, 7-3, to hand Rutgers its first loss in the Mideast Regional. Rutgers (37-16), the Atlantic 10 Conference champion, will play the loser of the game between N.C.-Charlotte and Tennessee. (AP) Yale Is Out: In College Station, Tex., North Carolina eliminated Yale, 11-6, in the Central I Regional. Yale, winner of the Ivy League, ends the season at 33-11. (AP) GOLF Clearwater Shoots a 61, and He's in Third Fulton Allem weathered a record-setting performance by Keith Clearwater and established a one-stroke lead yesterday in the storm-delayed second round of the Southwestern Bell Colonial in Fort Worth, Tex. Allem birdied the final hole from 25 feet to cap a seven-under 63 and set a tournament record of 11-under-par 129 over the first 36 holes. Clearwater birdied the last seven holes -- averaging more than 20 feet a putt while falling one short of the PGA Tour record -- for a 61 on the 7,010-yard Colonial course. His 61 was a course and tournament record, and a score that has been bettered only 10 times in the history of the American tour, a pair of 59's by Al Geiberger and Chip Beck, and eight scores of 60. With a 132 total, however, Clearwater trailed both Allem and Dick Mast, who shot 66 and was a stroke off the pace on a day the course was robbed of its natural defenses by gentle breezes and greens slowed and softened by a day-long series of showers. In a group at 133, one behind Clearwater, were Tom Watson, Greg Norman, Russ Cochran, Mark Calcavecchia and Jeff Maggert. (AP) Two Eagles for Robbins: Kelly Robbins had two eagles in a four-under-par 68 yesterday to take sole possession of the lead after two rounds of the L.P.G.A. Corning Classic in Corning, N.Y.. Robbins, who started the round in a three-way tie for the lead, has a 36-hole total of 138, one stroke in front of Hiromi Kobayashi of Japan, who also shot a 68. Alison Nicholas had a 71 and was next at 141. Murphy and Turnesa Rally: Going into the back 18 of the 36-hole best-ball Wilson Memorial Cup yesterday at the Scarsdale (N.Y.) Golf Club, Steve Murphy and Jim Turnesa thought their chances of winning the 22d annual tournament for a third time were minimal. The twosome from the Knollwood Country Club in Elmsford finished the first 18 with a two-under-par 70 that put them in seventh place, seven strokes off the leaders, John Baldwin and Peter Van Ingen of the Meadow Brook Country Club on Long Island. But Murphy and Turnesa combined for a 65 on the back to finish with a 135 and earn the victory by a stroke as Baldwin and Van Ingen scored a 73 and fell into a second-place tie at 136. Also in second was Ridgewood team of Paul Antenucci and Tim Shea.",1993-05-29 01:00:00,0.0,0.9313,0.9313,"         Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0      ERRORS      0         1         0            0          0   
1     AGAINST      0         1         0            0          0   
2       LOSES      0         1         0            0          0   
3       LOSES      0         1         0            0          0   
4   ADVANTAGE      0         0         1            0          0   
5        LOSS      0         1         0            0          0   
6        WILL      1         0         0            0          0   
7      WINNER      0         0         1            0          0   
8     DELAYED      0         1         0            0          0   
9      SLOWED      0         1         0            0          0   
10       BEST      1         0         1            0          0   
11    WINNING      0         0         1            0          0   

    Constraining  Superfluous  Interesting  
0              0            0            0  
1              0            0            0  
2              0            0            0  
3              0            0            0  
4              0            0            0  
5              0            0            0  
6              0            0            0  
7              0            0            0  
8              0            0            0  
9              0            0            0  
10             0            0            0  
11             0            0            0  ",2.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,733,0.002728512960436562,0.009549795361527967,0.005457025920873124,0.0,0.0,0.0,0.0,0.0,0.004092769440654843,-0.004092769440654843
6,14,14,https://www.nytimes.com/1993/06/03/sports/golf-smooth-sailing-leaves-norman-out-of-rough.html,Smooth Sailing Leaves Norman Out of Rough,"Six weeks off usually leaves a thick coat of rust on the games of professional golfers, but in Greg Norman's case, a long break smoothed jagged edges. As he prepares for Thursday's opening round of the Memorial Tournament, Norman is coming off a strong runner-up finish at the Southwestern Bell Colonial Invitational. The Texas event last weekend was the first for Norman since his 31st place finish at the Masters in April, a performance so disappointing it left the 38-year-old Australian drained.",1993-06-03 01:00:00,0.0,-0.6678,-0.6678,"            Word  Modal  Negative  Positive  Uncertainty  Litigious  \
0        USUALLY      2         0         0            0          0   
1          BREAK      0         1         0            0          0   
2         STRONG      0         0         1            0          0   
3  DISAPPOINTING      0         1         0            0          0   

   Constraining  Superfluous  Interesting  
0             0            0            0  
1             0            0            0  
2             0            0            0  
3             0            0            0  ",2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,85,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,-0.011764705882352941
7,18,18,https://www.nytimes.com/1993/06/21/business/dividend-meetings-247093.html,Dividend Meetings,Following is a partial list of dividend meetings this week: MONDAY Ameron Inc Del NBD Bancorp Inc Rochester Tel Corp TUESDAY Bell Atlantic Corp Cascade Nat Gas Corp Centerior Energy Corp Harsco Corp Metropolitan Fin Corp Montana Pwr Co National Svc Inds Inc Rubbermaid Inc Schering-Plough Corp Utd Dominion Realty WEDNESDAY Brooklyn Union Gas Downey Savings & Loan SPX Corp THURSDAY Allen Group Inc Boston Edison Co Campbell Soup Co Delmarva Power & Light Graco Inc KCS Energy Inc Moorco Intl Inc Orange & Rockland Utils Snap-On Tools Corp Tektronix Corp FRIDAY Cent Hudson Gas & Elec Knight-Ridder Inc Pacific Telesis Grp Pfizer Inc Southwestern Bell Corp,1993-06-21 01:00:00,0.0,0.7378,0.7378,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19,19,https://www.nytimes.com/1993/06/22/business/finance-briefs-612393.html,FINANCE BRIEFS,"Debt * Pennsylvania Power and Light Co., Allentown, Pa., is offering $125 million of 6 percent first-mortgage bonds due in 2000 at 99.83 to yield 6.03 percent. The noncallable issue through First Boston Corp. is rated A by Duff & Phelps. * Southwestern Bell Corp., San Antonio, is offering $250 million of 7 percent debentures at 98.75 to yield 7.113 percent. The noncallable debentures through Goldman, Sachs & Co. are rated A-1 by Moody's Investors Service Inc. and A+ by Standard & Poor's Corp. and Duff & Phelps.",1993-06-22 01:00:00,0.0,-0.3612,-0.3612,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,20,20,https://www.nytimes.com/1993/07/22/business/southwestern-bell-corp-reports-earnings-for-qtr-to-june-30.html,Southwestern Bell Corp. reports earnings for Qtr to June 30,0,1993-07-22 01:00:00,0.0,0.0,0.0,"Empty DataFrame
Columns: [Word, Modal, Negative, Positive, Uncertainty, Litigious, Constraining, Superfluous, Interesting]
Index: []",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
